fid,UBIGEO,CODDPTO,NOMBDPTO,CODPROV,NOMBPROV,CODDIST,NOMBDIST,CODCCPP,NOMCCPP,CODZONA,SUFZONA,CODMZNA,SUFMZNA,CIUDAD,IDMANZANA,ID
"2325","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","09","025",,CHIMBOTE,"02180901909025","2325"
"2326","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","09","027",,CHIMBOTE,"02180901909027","2326"
"2327","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","09","030",,CHIMBOTE,"02180901909030","2327"
"2328","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","09","035",,CHIMBOTE,"02180901909035","2328"
"2329","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","09","039",,CHIMBOTE,"02180901909039","2329"
"2330","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","09","038",,CHIMBOTE,"02180901909038","2330"
"2331","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","09","034",,CHIMBOTE,"02180901909034","2331"
"2332","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","09","031",,CHIMBOTE,"02180901909031","2332"
"2333","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","08","002",,CHIMBOTE,"02180901908002","2333"
"2334","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","08","007",,CHIMBOTE,"02180901908007","2334"
"2335","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","08","008",,CHIMBOTE,"02180901908008","2335"
"2336","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","08","006",,CHIMBOTE,"02180901908006","2336"
"2337","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","08","011",,CHIMBOTE,"02180901908011","2337"
"2338","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"019","08","010",,CHIMBOTE,"02180901908010","2338"
